session_id,customer_id,session_date,channel,device,pages_viewed,converted
S000224,,2025-09-18,paid_search,desktop,5,0
S000225,C0069,2025-01-06,organic_search,mobile,2,0
S000226,C0191,2025-05-18,organic_search,mobile,4,0
S000227,C0100,2025-07-17,direct,desktop,6,0
S000228,C0066,2025-12-22,email,mobile,2,0
S000229,,2025-03-01,paid_search,desktop,7,0
S000230,C0143,2025-06-16,email,mobile,4,0
S000231,C0148,2025-01-01,organic_search,desktop,2,0
S000232,C0162,2025-07-13,organic_search,mobile,4,0
S000233,,2025-12-04,email,mobile,2,0
S000234,,2025-11-10,paid_social,mobile,2,0
S000235,C0185,2025-06-28,organic_search,mobile,4,0
S000236,C0135,2025-04-15,organic_search,desktop,5,0
S000237,,2025-12-05,organic_search,desktop,5,0
S000238,C0012,2025-06-14,organic_search,desktop,1,0
S000239,,2025-03-20,paid_social,mobile,2,0
S000240,C0078,2025-08-20,email,mobile,6,0
S000241,C0029,2025-08-19,email,desktop,5,1
S000242,,2025-09-08,organic_search,mobile,6,0
S000243,C0088,2025-07-15,organic_search,mobile,5,0
S000244,C0140,2025-05-21,direct,mobile,4,0
S000245,C0135,2025-11-22,organic_search,mobile,7,0
S000246,C0012,2025-08-15,organic_search,mobile,7,0
S000247,C0111,2025-11-28,email,mobile,4,0
S000248,C0183,2025-10-25,organic_search,desktop,7,0
S000249,,2025-08-17,organic_search,mobile,1,0
S000250,C0007,2025-02-25,email,mobile,4,0
S000251,C0107,2025-08-31,paid_search,mobile,3,0
S000252,,2025-04-29,paid_social,mobile,4,0
S000253,,2025-12-15,organic_search,mobile,2,0
S000254,,2025-02-09,email,mobile,5,0
S000255,C0193,2025-04-21,email,mobile,2,0
S000256,,2025-12-20,paid_social,desktop,1,0
S000257,,2025-07-28,paid_social,desktop,5,0
S000258,C0002,2025-04-06,referral,mobile,5,0
S000259,C0066,2025-12-06,direct,mobile,1,0
S000260,C0098,2025-08-12,direct,mobile,3,0
S000261,,2025-10-02,email,desktop,2,0
S000262,,2025-06-24,paid_search,desktop,1,0
S000263,C0014,2025-06-10,paid_search,mobile,7,1
S000264,,2025-08-13,organic_search,desktop,2,0
S000265,C0152,2025-11-09,organic_search,desktop,1,0
S000266,C0164,2025-03-05,paid_search,desktop,5,1
S000267,C0047,2025-01-08,direct,mobile,4,0
S000268,C0076,2025-04-19,organic_search,mobile,1,0
S000269,C0133,2025-02-21,organic_search,mobile,4,0
S000270,C0181,2025-08-15,email,mobile,4,1
S000271,C0011,2025-03-23,paid_social,mobile,4,0
S000272,C0040,2025-06-08,direct,mobile,6,0
S000273,,2025-12-07,referral,mobile,5,0
S000274,C0058,2025-12-02,organic_search,mobile,4,0
S000275,C0111,2025-06-20,email,mobile,4,0
S000276,C0135,2025-09-27,paid_search,mobile,3,1
S000277,C0024,2025-04-13,organic_search,desktop,1,0
S000278,,2025-05-19,paid_social,desktop,2,0
S000279,C0149,2025-06-03,paid_search,mobile,5,0
S000280,C0013,2025-03-30,organic_search,mobile,3,0
S000281,C0046,2025-02-26,paid_social,mobile,6,0
S000282,C0042,2025-11-01,organic_search,mobile,5,0
S000283,C0106,2025-11-28,email,mobile,4,0
S000284,C0093,2025-03-28,email,mobile,3,1
S000285,C0123,2025-06-05,paid_search,mobile,4,0
S000286,C0031,2025-06-16,organic_search,mobile,3,0
S000287,C0094,2025-04-12,organic_search,mobile,8,0
S000288,C0062,2025-02-18,paid_search,desktop,3,0
S000289,C0147,2025-04-18,email,mobile,4,0
S000290,,2025-07-21,email,mobile,2,0
S000291,C0031,2025-02-13,email,mobile,4,0
S000292,C0063,2025-02-07,email,tablet,7,1
S000293,C0178,2025-03-31,paid_social,mobile,4,0
S000294,,2025-07-30,paid_social,mobile,1,0
S000295,C0038,2025-09-19,email,mobile,3,0
S000296,,2025-06-19,paid_social,mobile,4,0
S000297,,2025-09-03,paid_search,mobile,3,0
S000298,C0017,2025-04-12,direct,mobile,4,0
S000299,C0167,2025-06-28,email,desktop,1,0
S000300,,2025-12-22,direct,desktop,4,0
S000301,C0175,2025-10-30,paid_search,mobile,1,0
S000302,C0152,2025-09-30,email,desktop,1,1
S000303,C0065,2025-04-29,paid_search,mobile,1,0
S000304,C0182,2025-01-26,organic_search,desktop,2,0
S000305,C0088,2025-07-14,organic_search,mobile,1,0
S000306,C0110,2025-06-06,paid_search,mobile,1,1
S000307,,2025-09-01,organic_search,desktop,2,0
S000308,,2025-07-01,organic_search,mobile,4,0
S000309,,2025-06-21,paid_search,mobile,3,0
S000310,C0062,2025-03-03,paid_search,desktop,1,0
S000311,C0100,2025-05-19,organic_search,mobile,4,0
S000312,C0101,2025-06-07,organic_search,tablet,5,0
S000313,C0049,2025-03-25,organic_search,mobile,4,0
S000314,C0169,2025-05-09,paid_social,desktop,3,0
S000315,C0193,2025-09-21,email,mobile,4,0
S000316,C0085,2025-08-16,organic_search,mobile,2,0
S000317,C0176,2025-07-12,direct,desktop,6,0
S000318,C0005,2025-01-30,direct,desktop,5,0
S000319,C0080,2025-09-20,direct,desktop,3,0
S000320,,2025-05-19,paid_search,mobile,3,0
S000321,C0012,2025-07-20,paid_search,mobile,6,0
S000322,C0007,2025-08-04,organic_search,mobile,3,0
S000323,C0164,2025-07-14,organic_search,tablet,1,0
S000324,C0127,2025-01-25,paid_social,mobile,7,0
S000325,C0016,2025-03-25,organic_search,mobile,2,0
S000326,C0199,2025-07-04,referral,mobile,1,0
S000327,C0051,2025-11-14,organic_search,mobile,5,0
S000328,C0121,2025-05-17,paid_search,desktop,4,0
S000329,C0105,2025-11-23,paid_search,desktop,5,0
S000330,C0172,2025-07-30,paid_social,mobile,4,0
S000331,C0136,2025-05-28,direct,mobile,3,0
S000332,C0079,2025-07-01,email,mobile,4,0
S000333,C0141,2025-02-19,paid_social,desktop,1,0
S000334,C0166,2025-04-01,referral,desktop,5,0
S000335,C0101,2025-06-24,organic_search,mobile,1,0
S000336,,2025-09-24,organic_search,desktop,7,0
S000337,,2025-04-20,organic_search,mobile,1,0
S000338,C0171,2025-05-01,email,mobile,5,0
S000339,,2025-12-14,paid_social,desktop,5,0
S000340,C0129,2025-03-05,direct,desktop,6,0
S000341,C0167,2025-07-15,direct,mobile,3,0
S000342,,2025-02-04,paid_social,desktop,1,0
S000343,C0156,2025-04-20,direct,mobile,2,0
S000344,,2025-01-12,email,mobile,6,0
S000345,C0084,2025-04-22,paid_search,desktop,5,1
S000346,C0143,2025-11-01,paid_social,mobile,5,0
S000347,,2025-04-25,organic_search,desktop,6,0
S000348,,2025-10-12,paid_social,mobile,3,0
S000349,C0148,2025-10-02,paid_social,mobile,5,0
S000350,C0162,2025-05-21,paid_social,mobile,7,0
S000351,C0151,2025-07-29,paid_search,desktop,7,0
S000352,C0065,2025-02-06,email,mobile,3,0
S000353,C0182,2025-11-13,organic_search,mobile,4,0
S000354,,2025-09-22,paid_search,desktop,5,0
S000355,C0191,2025-04-11,paid_social,mobile,4,0
S000356,C0006,2025-11-10,paid_social,mobile,1,0
S000357,,2025-11-25,paid_social,desktop,3,0
S000358,,2025-11-20,organic_search,mobile,5,0
S000359,,2025-03-31,email,mobile,7,0
S000360,C0088,2025-02-24,direct,mobile,4,0
S000361,C0022,2025-06-22,paid_social,mobile,4,0
S000362,C0131,2025-07-19,paid_search,mobile,3,1
S000363,C0182,2025-05-23,direct,tablet,1,0
S000364,C0112,2025-03-10,paid_search,mobile,5,0
S000365,C0008,2025-01-05,paid_social,tablet,6,0
S000366,C0019,2025-06-15,organic_search,mobile,5,0
S000367,C0053,2025-01-04,paid_search,desktop,3,0
S000368,,2025-04-13,organic_search,mobile,4,0
S000369,C0176,2025-12-28,direct,desktop,1,0
S000370,,2025-11-30,email,desktop,2,0
S000371,,2025-11-29,organic_search,desktop,3,0
S000372,C0098,2025-02-02,email,desktop,3,0
S000373,,2025-10-17,paid_social,desktop,1,0
S000374,,2025-02-18,direct,mobile,1,0
S000375,,2025-08-27,paid_search,mobile,5,0
S000376,C0143,2025-11-23,email,mobile,3,1
S000377,C0123,2025-02-23,paid_social,desktop,4,0
S000378,C0083,2025-02-24,organic_search,tablet,4,0
S000379,C0019,2025-01-16,email,desktop,1,0
S000380,C0020,2025-12-28,paid_search,mobile,3,0
S000381,C0002,2025-10-14,paid_social,mobile,5,0
S000382,,2025-11-29,paid_social,desktop,1,0
S000383,C0157,2025-02-14,organic_search,mobile,6,0
S000384,C0026,2025-02-15,organic_search,mobile,5,0
S000385,,2025-11-07,email,mobile,4,0
S000386,,2025-12-16,email,mobile,4,0
S000387,C0117,2025-07-28,direct,mobile,4,0
S000388,,2025-01-12,paid_social,desktop,7,0
S000389,,2025-12-15,paid_search,desktop,4,0
S000390,C0076,2025-08-15,organic_search,mobile,3,0
S000391,C0008,2025-06-16,organic_search,mobile,6,0
S000392,C0160,2025-06-16,organic_search,mobile,8,0
S000393,,2025-04-29,organic_search,mobile,4,0
S000394,C0062,2025-06-25,paid_social,mobile,3,0
S000395,C0081,2025-08-06,email,mobile,1,0
S000396,C0167,2025-12-06,organic_search,desktop,2,0
S000397,C0177,2025-11-20,paid_search,mobile,2,1
S000398,,2025-03-02,referral,mobile,8,0
S000399,C0176,2025-03-27,email,desktop,4,0
S000400,,2025-12-20,direct,desktop,2,0
S000401,C0168,2025-11-26,paid_social,mobile,4,0
S000402,,2025-02-04,organic_search,mobile,4,0
S000403,,2025-10-13,paid_search,mobile,6,0
S000404,,2025-08-19,paid_search,mobile,3,0
S000405,C0105,2025-12-23,email,mobile,3,0
S000406,C0053,2025-01-16,organic_search,desktop,3,0
S000407,,2025-06-29,email,mobile,5,0
S000408,C0041,2025-12-04,email,mobile,4,0
S000409,,2025-09-04,paid_search,tablet,1,0
S000410,C0058,2025-02-01,paid_search,mobile,5,0
S000411,,2025-07-01,organic_search,desktop,6,0
S000412,,2025-07-07,paid_search,desktop,6,0
S000413,C0043,2025-05-27,paid_social,desktop,6,0
S000414,C0094,2025-05-04,email,mobile,4,0
S000415,,2025-12-06,organic_search,mobile,3,0
S000416,C0029,2025-08-24,email,mobile,6,0
S000417,C0045,2025-04-29,organic_search,mobile,4,0
S000418,,2025-06-23,email,mobile,5,0
S000419,,2025-04-21,email,desktop,7,0
S000420,,2025-08-10,organic_search,mobile,3,0
S000421,,2025-06-11,paid_search,mobile,3,0
S000422,C0188,2025-03-09,paid_search,mobile,8,0
S000423,,2025-12-06,paid_social,mobile,3,0
S000424,,2025-09-18,paid_search,desktop,1,0
S000425,C0007,2025-11-26,organic_search,desktop,2,0
S000426,C0167,2025-07-06,paid_search,desktop,3,0
S000427,C0095,2025-12-03,direct,mobile,4,0
S000428,,2025-04-22,direct,mobile,6,0
S000429,C0050,2025-06-05,paid_social,mobile,5,0
S000430,,2025-09-05,paid_search,mobile,3,0
S000431,C0191,2025-09-09,email,mobile,5,0
S000432,C0117,2025-05-19,paid_search,tablet,3,0
S000433,C0088,2025-07-31,email,mobile,3,0
S000434,,2025-11-08,paid_social,desktop,4,0
S000435,C0141,2025-12-31,organic_search,mobile,2,0
S000436,C0134,2025-03-11,email,desktop,3,1
S000437,,2025-03-27,paid_search,desktop,4,0
S000438,C0058,2025-03-19,referral,mobile,2,0
S000439,C0014,2025-08-12,direct,mobile,5,0
S000440,C0036,2025-08-04,paid_search,mobile,4,0
S000441,C0181,2025-09-20,email,mobile,1,0
S000442,C0134,2025-10-13,paid_search,mobile,4,0
S000443,C0047,2025-12-21,referral,desktop,1,0
S000444,C0180,2025-01-30,email,mobile,6,0
S000445,C0003,2025-08-16,organic_search,desktop,3,0
S000446,C0060,2025-08-09,paid_search,tablet,1,0
S000447,C0035,2025-04-30,organic_search,desktop,2,0
S000448,C0164,2025-04-21,direct,mobile,5,0
S000449,C0158,2025-08-04,email,mobile,2,0
S000450,C0195,2025-08-12,organic_search,desktop,4,0
S000451,C0200,2025-03-24,organic_search,mobile,2,0
S000452,,2025-05-08,paid_social,tablet,2,0
S000453,,2025-06-04,email,mobile,6,0
S000454,C0197,2025-10-29,paid_search,desktop,4,0
S000455,C0144,2025-05-20,paid_search,desktop,4,0
S000456,,2025-03-31,organic_search,desktop,3,0
S000457,C0005,2025-01-13,paid_search,desktop,5,0
S000458,C0082,2025-05-30,organic_search,mobile,3,0
S000459,,2025-02-12,organic_search,mobile,4,0
S000460,C0034,2025-06-18,organic_search,mobile,4,0
S000461,C0144,2025-01-27,paid_social,desktop,2,1
S000462,C0019,2025-08-30,paid_search,mobile,4,0
S000463,C0120,2025-04-29,email,desktop,1,1
S000464,C0056,2025-02-25,paid_social,mobile,4,0
S000465,C0134,2025-09-30,organic_search,mobile,4,0
S000466,,2025-12-20,organic_search,mobile,4,0
S000467,,2025-06-09,referral,desktop,4,0
S000468,C0087,2025-12-27,paid_social,tablet,4,0
S000469,C0081,2025-09-25,paid_social,mobile,3,0
S000470,C0039,2025-03-31,direct,desktop,3,0
S000471,,2025-03-03,paid_social,desktop,6,0
S000472,C0080,2025-02-08,paid_search,mobile,1,0
S000473,C0065,2025-12-09,organic_search,mobile,6,0
S000474,C0137,2025-08-17,paid_social,desktop,1,0
S000475,,2025-08-22,paid_search,desktop,6,0
S000476,C0143,2025-03-08,paid_search,desktop,6,1
S000477,C0193,2025-12-05,paid_social,mobile,5,0
S000478,C0014,2025-01-17,organic_search,desktop,5,0
S000479,,2025-02-06,organic_search,desktop,2,0
S000480,,2025-07-18,paid_social,mobile,2,0
S000481,C0032,2025-05-05,organic_search,mobile,8,0
S000482,C0099,2025-08-31,paid_search,mobile,6,0
S000483,C0101,2025-04-14,paid_social,mobile,5,0
S000484,C0087,2025-05-07,paid_search,mobile,8,0
S000485,C0158,2025-06-14,organic_search,desktop,5,0
S000486,,2025-01-01,direct,mobile,1,0
S000487,,2025-05-11,email,desktop,5,0
S000488,C0069,2025-07-07,organic_search,desktop,3,0
S000489,,2025-04-27,paid_search,desktop,4,0
S000490,C0063,2025-11-26,paid_social,tablet,1,0
S000491,C0079,2025-05-10,organic_search,mobile,2,0
S000492,C0172,2025-01-29,organic_search,desktop,4,0
S000493,C0036,2025-12-13,organic_search,desktop,5,0
S000494,C0121,2025-08-25,paid_social,desktop,1,0
S000495,C0064,2025-02-02,paid_search,mobile,7,0
S000496,,2025-02-04,organic_search,mobile,4,0
S000497,C0164,2025-07-25,organic_search,mobile,1,0
S000498,C0082,2025-06-26,paid_social,mobile,5,0
S000499,C0028,2025-11-04,email,desktop,1,0
S000500,C0171,2025-04-27,paid_search,mobile,3,0
S000501,C0179,2025-03-05,email,mobile,1,1
S000502,,2025-02-17,paid_search,mobile,4,0
S000503,C0191,2025-07-02,paid_search,desktop,3,0
S000504,C0189,2025-08-10,paid_search,desktop,3,1
S000505,C0084,2025-06-04,referral,mobile,6,0
S000506,,2025-03-15,email,mobile,3,0
S000507,C0043,2025-04-04,paid_search,desktop,4,0
S000508,,2025-01-29,paid_search,mobile,3,0
S000509,C0183,2025-12-31,referral,mobile,6,0
S000510,C0008,2025-08-06,paid_search,desktop,2,0
S000511,,2025-04-21,organic_search,mobile,4,0
S000512,C0184,2025-03-26,paid_social,mobile,4,0
S000513,C0045,2025-04-29,email,desktop,4,0
S000514,C0183,2025-11-01,paid_social,mobile,6,0
S000515,C0014,2025-09-08,direct,mobile,4,0
S000516,C0037,2025-06-13,organic_search,desktop,4,0
S000517,C0197,2025-05-06,referral,mobile,5,0
S000518,C0163,2025-04-22,organic_search,mobile,2,0
S000519,,2025-06-01,paid_search,mobile,1,0
S000520,C0071,2025-08-30,organic_search,mobile,5,0
S000521,C0060,2025-02-07,organic_search,mobile,4,0
S000522,C0181,2025-12-20,paid_social,desktop,4,0
S000523,C0141,2025-01-04,paid_search,desktop,1,0
S000524,C0111,2025-11-14,organic_search,mobile,4,0
S000525,C0176,2025-03-16,email,desktop,2,0
S000526,,2025-03-22,organic_search,mobile,5,0
S000527,,2025-03-01,paid_search,desktop,6,0
S000528,C0113,2025-09-11,organic_search,mobile,3,1
S000529,C0084,2025-11-24,direct,mobile,3,0
S000530,C0005,2025-07-09,paid_social,mobile,6,0
S000531,C0004,2025-05-22,direct,mobile,1,0
