customer_id,signup_date,plan,monthly_value,last_active_date,churned,churn_reason,support_tickets,engagement_score
C0039,2025-03-25,essentials,12,2026-05-15,0,,2,0.41
C0040,2024-07-16,essentials,12,2024-12-12,1,price,0,0.39
C0041,2024-06-27,pro,29,2026-05-15,0,,4,0.62
C0042,2024-11-23,essentials,12,2026-05-15,0,,1,0.82
C0043,2025-04-06,essentials,12,2025-12-11,1,price,1,0.51
C0044,2024-04-25,essentials,12,2025-09-07,1,other,1,0.08
C0045,2024-06-10,essentials,12,2026-05-15,0,,1,0.63
C0046,2024-04-09,essentials,12,2026-05-15,0,,3,0.75
C0047,2025-01-14,premium,59,2026-03-26,1,competitor,0,0.35
C0048,2025-03-09,essentials,12,2026-05-15,0,,1,0.64
C0049,2025-07-24,essentials,12,2026-05-15,0,,0,0.34
C0050,2024-08-30,essentials,12,2026-05-15,0,,2,0.55
C0051,2025-05-21,essentials,12,2026-05-15,0,,2,0.45
C0052,2024-12-19,pro,29,2026-05-15,0,,2,0.59
C0053,2024-07-03,pro,29,2026-05-15,0,,3,0.42
C0054,2024-01-02,essentials,12,2026-05-15,0,,0,0.53
C0055,2025-06-22,premium,59,2026-06-23,1,missing_feature,2,0.25
C0056,2024-07-16,pro,29,2024-08-03,1,other,3,0.21
C0057,2025-05-27,essentials,12,2026-05-15,0,,3,0.58
C0058,2024-04-21,essentials,12,2026-05-15,0,,4,0.49
C0059,2025-03-24,essentials,12,2026-05-15,0,,3,0.58
C0060,2025-04-07,essentials,12,2026-08-09,1,missing_feature,1,0.75
C0061,2025-06-28,essentials,12,2026-07-04,1,price,1,0.22
C0062,2025-03-28,pro,29,2026-06-12,1,support_issue,1,0.08
C0063,2024-04-03,pro,29,2024-04-30,1,missing_feature,2,0.13
C0064,2025-06-12,premium,59,2026-05-15,0,,1,0.85
C0065,2024-01-02,pro,29,2026-05-15,0,,0,0.06
C0066,2025-08-04,pro,29,2026-05-15,0,,1,0.1
C0067,2024-01-09,essentials,12,2026-05-15,0,,1,0.73
C0068,2024-12-15,essentials,12,2026-05-15,0,,0,0.79
C0069,2025-05-27,premium,59,2026-05-15,0,,0,0.32
C0070,2024-07-26,essentials,12,2026-05-15,0,,1,0.24
C0071,2024-08-25,essentials,12,2026-05-15,0,,1,0.29
C0072,2025-02-21,premium,59,2026-05-15,0,,2,0.6
C0073,2025-07-08,essentials,12,2025-10-19,1,not_using,0,0.21
C0074,2024-05-08,pro,29,2026-05-15,0,,1,0.81
C0075,2025-02-08,essentials,12,2026-05-15,0,,0,0.41
C0076,2025-04-13,premium,59,2026-01-22,1,other,0,0.38
C0077,2024-08-11,pro,29,2026-05-15,0,,3,0.41
C0078,2025-08-16,pro,29,2026-05-15,0,,1,0.56
C0079,2025-07-09,pro,29,2025-11-14,1,other,1,0.02
C0080,2024-01-21,essentials,12,2024-10-26,1,missing_feature,2,0.09
C0081,2024-09-23,pro,29,2026-05-15,0,,2,0.67
C0082,2024-11-30,essentials,12,2025-10-26,1,not_using,1,0.3
C0083,2024-08-26,essentials,12,2026-05-15,0,,0,0.23
C0084,2025-05-10,premium,59,2026-10-19,1,competitor,1,0.3
C0085,2024-07-07,pro,29,2026-05-15,0,,0,0.35
C0086,2025-01-22,pro,29,2026-05-15,0,,2,0.8
C0087,2024-10-31,essentials,12,2026-05-15,0,,2,0.71
C0088,2024-07-24,pro,29,2026-05-15,0,,5,0.32
C0089,2024-10-11,premium,59,2025-02-20,1,not_using,1,0.5
C0090,2024-04-12,essentials,12,2026-05-15,0,,3,0.89
C0091,2024-06-02,pro,29,2026-05-15,0,,0,0.49
C0092,2024-08-02,essentials,12,2026-05-15,0,,1,0.67
C0093,2025-02-04,essentials,12,2026-05-15,0,,3,0.36
C0094,2024-03-30,premium,59,2024-05-01,1,price,3,0.44
C0095,2024-03-23,essentials,12,2026-05-15,0,,2,0.47
C0096,2024-12-14,essentials,12,2026-05-15,0,,0,0.45
C0097,2024-06-15,pro,29,2026-05-15,0,,0,0.27
C0098,2024-02-15,premium,59,2026-05-15,0,,1,0.8
C0099,2025-03-26,premium,59,2026-05-15,0,,0,0.61
C0100,2024-03-14,essentials,12,2026-05-15,0,,0,0.24
C0101,2025-03-23,pro,29,2026-08-26,1,not_using,3,0.36
C0102,2025-05-27,essentials,12,2026-05-15,0,,0,0.52
C0103,2024-04-17,essentials,12,2024-10-23,1,missing_feature,3,0.26
C0104,2024-10-10,pro,29,2026-05-15,0,,1,0.58
C0105,2025-07-26,essentials,12,2026-05-15,0,,3,0.83
C0106,2024-11-24,pro,29,2026-05-15,0,,1,0.53
C0107,2024-05-15,premium,59,2026-05-15,0,,1,0.73
C0108,2024-05-13,premium,59,2026-05-15,0,,0,0.31
C0109,2024-08-29,essentials,12,2025-02-05,1,competitor,0,0.26
C0110,2024-11-11,essentials,12,2026-05-15,0,,0,0.99
C0111,2025-01-12,essentials,12,2026-05-15,0,,1,0.78
C0112,2024-07-01,essentials,12,2026-05-15,0,,2,0.64
C0113,2024-03-17,premium,59,2026-05-15,0,,0,0.41
C0114,2024-03-13,essentials,12,2026-05-15,0,,0,0.84
C0115,2025-04-27,essentials,12,2026-05-15,0,,0,0.84
C0116,2025-05-23,essentials,12,2026-05-15,0,,1,0.42
C0117,2025-05-24,premium,59,2026-10-11,1,missing_feature,3,0.31
C0118,2024-08-28,pro,29,2026-05-15,0,,3,0.17
C0119,2024-02-21,essentials,12,2026-05-15,0,,3,0.4
C0120,2025-06-08,premium,59,2026-05-15,0,,1,0.57
C0121,2024-08-02,pro,29,2026-05-15,0,,0,0.9
C0122,2024-02-22,premium,59,2026-05-15,0,,2,0.63
C0123,2025-04-05,essentials,12,2026-05-15,0,,1,0.48
C0124,2024-09-09,pro,29,2026-05-15,0,,2,0.41
C0125,2024-04-17,essentials,12,2026-05-15,0,,0,0.64
C0126,2024-06-05,essentials,12,2026-05-15,0,,3,0.57
C0127,2024-04-07,essentials,12,2024-10-02,1,price,2,0.2
C0128,2024-02-18,essentials,12,2026-05-15,0,,1,0.04
C0129,2025-06-17,essentials,12,2026-05-15,0,,3,0.6
C0130,2025-07-06,pro,29,2026-05-15,0,,1,0.17
C0131,2024-04-05,pro,29,2026-05-15,0,,1,0.62
C0132,2024-02-23,essentials,12,2026-05-15,0,,0,0.53
C0133,2024-12-06,premium,59,2026-04-18,1,other,1,0.53
C0134,2024-08-07,essentials,12,2025-01-05,1,not_using,1,0.28
C0135,2024-01-11,essentials,12,2024-10-21,1,price,2,0.26
C0136,2024-12-10,premium,59,2026-05-15,0,,1,0.54
C0137,2024-07-19,pro,29,2026-05-15,0,,0,0.54
C0138,2024-08-15,essentials,12,2024-12-16,1,missing_feature,1,0.11
C0139,2025-02-12,essentials,12,2026-05-15,0,,0,0.48
C0140,2025-08-02,essentials,12,2026-11-03,1,competitor,0,0.48
C0141,2025-03-09,essentials,12,2026-05-15,0,,0,0.75
C0142,2024-06-02,essentials,12,2026-05-15,0,,0,0.8
C0143,2025-04-23,premium,59,2025-09-01,1,missing_feature,0,0.28
C0144,2024-08-16,essentials,12,2026-05-15,0,,1,0.73
C0145,2024-05-19,pro,29,2026-05-15,0,,2,0.49
C0146,2024-03-13,pro,29,2026-05-15,0,,4,0.62
C0147,2024-11-03,essentials,12,2026-05-15,0,,1,0.44
C0148,2025-01-08,essentials,12,2026-05-08,1,competitor,2,0.38
C0149,2024-09-19,premium,59,2026-02-15,1,other,0,0.15
C0150,2025-04-25,essentials,12,2026-05-15,0,,1,0.56
C0151,2025-05-14,essentials,12,2026-05-15,0,,2,0.53
C0152,2024-01-20,pro,29,2026-05-15,0,,3,0.4
C0153,2024-03-30,essentials,12,2026-05-15,0,,0,0.61
C0154,2025-05-27,essentials,12,2026-05-15,0,,1,0.55
C0155,2024-05-30,essentials,12,2024-09-12,1,competitor,2,0.57
C0156,2024-03-30,essentials,12,2026-05-15,0,,0,0.71
C0157,2024-07-05,premium,59,2026-05-15,0,,1,0.55
C0158,2025-07-24,pro,29,2026-05-15,0,,0,0.72
C0159,2025-08-12,essentials,12,2026-05-15,0,,4,0.33
C0160,2024-02-17,premium,59,2026-05-15,0,,1,0.66
C0161,2024-04-17,essentials,12,2026-05-15,0,,0,0.42
C0162,2025-05-18,premium,59,2026-05-15,0,,3,0.35
C0163,2025-07-06,pro,29,2026-06-19,1,missing_feature,1,0.44
C0164,2025-07-31,essentials,12,2026-05-15,0,,1,0.41
C0165,2024-06-10,essentials,12,2026-05-15,0,,0,0.78
C0166,2025-05-04,premium,59,2026-03-26,1,price,2,0.36
C0167,2024-11-24,essentials,12,2026-05-15,0,,0,0.39
C0168,2024-07-31,pro,29,2025-12-09,1,price,0,0.66
C0169,2025-08-04,pro,29,2026-05-15,0,,0,0.57
C0170,2025-07-19,pro,29,2026-05-15,0,,0,0.65
C0171,2025-06-05,premium,59,2026-05-15,0,,3,0.88
C0172,2024-10-16,essentials,12,2025-04-10,1,not_using,1,0.14
C0173,2025-07-09,pro,29,2026-05-15,0,,1,0.58
C0174,2025-01-13,essentials,12,2025-10-26,1,competitor,0,0.18
C0175,2024-03-12,essentials,12,2024-08-22,1,competitor,0,0.3
C0176,2024-08-16,pro,29,2024-09-22,1,other,4,0
C0177,2024-10-10,pro,29,2025-02-02,1,missing_feature,3,0.41
C0178,2025-04-19,pro,29,2026-05-15,0,,0,1
C0179,2024-02-23,pro,29,2026-05-15,0,,1,0.85
C0180,2024-08-06,essentials,12,2026-05-15,0,,0,0.4
C0181,2025-01-08,premium,59,2026-05-15,0,,4,0.57
C0182,2025-08-18,essentials,12,2026-09-08,1,competitor,1,0.3
C0183,2025-08-13,pro,29,2027-02-04,1,not_using,2,0.58
C0184,2025-01-13,pro,29,2026-05-15,0,,3,0.45
C0185,2025-07-14,essentials,12,2026-05-15,0,,4,0.48
C0186,2025-07-25,essentials,12,2026-05-15,0,,0,0.9
C0187,2024-07-23,essentials,12,2026-05-15,0,,1,0.58
C0188,2024-12-01,pro,29,2026-05-15,0,,3,1
C0189,2025-01-09,premium,59,2026-05-15,0,,0,0.39
C0190,2025-04-16,pro,29,2026-05-15,0,,0,0.3
C0191,2024-05-24,essentials,12,2026-05-15,0,,2,0.65
C0192,2024-02-14,essentials,12,2026-05-15,0,,3,0.87
C0193,2024-02-16,premium,59,2026-05-15,0,,2,0.36
C0194,2024-04-21,pro,29,2026-05-15,0,,0,0.65
C0195,2025-06-17,premium,59,2026-12-08,1,price,2,0.49
C0196,2024-12-25,essentials,12,2026-05-15,0,,0,0.86
C0197,2024-07-04,premium,59,2025-10-04,1,price,0,0.28
C0198,2025-05-18,essentials,12,2026-05-15,0,,0,0.76
C0199,2025-07-24,essentials,12,2026-05-15,0,,3,0.52
C0200,2024-10-29,essentials,12,2025-05-19,1,not_using,3,0.08
C0201,2024-08-27,premium,59,2025-05-19,1,support_issue,0,0.37
C0202,2025-08-15,pro,29,2025-11-11,1,not_using,0,0.42
C0203,2025-07-10,essentials,12,2026-08-01,1,competitor,2,0.26
C0204,2024-03-16,essentials,12,2026-05-15,0,,2,0.4
C0205,2025-01-15,premium,59,2026-05-15,0,,4,0.6
C0206,2024-03-07,pro,29,2026-05-15,0,,5,0.41
C0207,2025-04-11,premium,59,2026-05-15,0,,2,0.57
C0208,2025-01-18,premium,59,2026-05-15,0,,0,0.4
C0209,2025-03-11,pro,29,2026-05-15,0,,0,0.56
C0210,2024-10-14,premium,59,2026-05-15,0,,2,0.43
C0211,2025-08-13,pro,29,2025-11-11,1,price,0,0.1
C0212,2024-11-29,essentials,12,2025-07-09,1,missing_feature,0,0.29
C0213,2024-02-19,essentials,12,2026-05-15,0,,2,0.57
C0214,2025-07-09,essentials,12,2026-11-19,1,missing_feature,3,0.26
C0215,2024-02-08,essentials,12,2026-05-15,0,,4,0.66
C0216,2025-08-16,premium,59,2026-03-09,1,not_using,0,0.02
C0217,2024-02-25,pro,29,2024-04-13,1,price,4,0
C0218,2025-06-01,essentials,12,2025-11-30,1,price,2,0.28
C0219,2025-07-28,pro,29,2026-05-15,0,,5,0.59
C0220,2025-05-15,premium,59,2026-05-15,0,,2,1
C0221,2024-03-25,essentials,12,2026-05-15,0,,3,0.67
C0222,2024-08-12,essentials,12,2026-05-15,0,,0,0.7
C0223,2024-03-25,pro,29,2026-05-15,0,,0,0.84
C0224,2025-02-10,essentials,12,2026-05-15,0,,0,0.42
C0225,2024-09-01,essentials,12,2026-05-15,0,,5,0.45
C0226,2024-12-12,pro,29,2026-05-07,1,support_issue,1,0.09
C0227,2025-02-08,essentials,12,2026-05-15,0,,2,0.31
C0228,2024-08-09,essentials,12,2025-12-11,1,not_using,0,0.28
C0229,2024-02-07,premium,59,2024-07-07,1,missing_feature,1,0
C0230,2024-01-27,pro,29,2026-05-15,0,,0,0.54
C0231,2025-04-18,essentials,12,2025-08-24,1,not_using,0,0.4
C0232,2024-04-05,pro,29,2026-05-15,0,,1,0.6
C0233,2025-07-06,pro,29,2026-05-15,0,,0,0.44
C0234,2025-04-23,pro,29,2026-05-15,0,,2,0.45
C0235,2024-12-09,pro,29,2026-05-15,0,,1,0.76
C0236,2025-05-24,essentials,12,2026-05-15,0,,1,0.78
C0237,2025-04-26,essentials,12,2026-05-15,0,,1,0.55
C0238,2024-12-22,essentials,12,2026-05-15,0,,2,0.52
C0239,2024-03-06,essentials,12,2026-05-15,0,,2,0.51
C0240,2024-05-27,essentials,12,2025-11-15,1,missing_feature,0,0.19
C0241,2025-03-31,pro,29,2026-05-15,0,,3,0.74
C0242,2024-01-11,pro,29,2025-04-25,1,missing_feature,1,0.02
C0243,2025-06-25,essentials,12,2025-12-10,1,price,0,0.38
C0244,2025-04-23,pro,29,2026-05-15,0,,1,0.52
C0245,2025-06-24,essentials,12,2026-05-15,0,,0,0.71
C0246,2025-06-27,pro,29,2026-11-12,1,support_issue,2,0.45
C0247,2025-01-10,premium,59,2026-05-15,0,,1,0.45
C0248,2024-03-16,essentials,12,2026-05-15,0,,2,0.83
C0249,2024-01-08,pro,29,2024-12-08,1,price,0,0.33
C0250,2024-04-24,essentials,12,2026-05-15,0,,1,0.45
