order_id,customer_id,order_date,order_value,plan,discount_code
O00147,C0050,2025-07-31,183.58,essentials,
O00148,C0097,2025-02-01,128.59,pro,
O00149,C0088,2025-09-15,135.49,pro,SPRING10
O00150,C0012,2025-05-19,217.09,essentials,
O00151,C0056,2025-06-09,206.41,premium,
O00152,C0005,2025-08-06,175.51,premium,
O00153,C0076,2025-09-08,18.04,essentials,NEWYEAR
O00154,C0106,2025-09-28,207.91,premium,
O00155,C0014,2025-04-25,52.27,pro,
O00156,C0106,2025-12-25,161.71,pro,
O00157,C0071,2025-01-21,18.3,essentials,
O00158,C0005,2025-11-27,176.73,premium,
O00159,C0068,2025-11-22,115.11,pro,
O00160,C0039,2025-09-26,227.47,essentials,
O00161,C0102,2025-11-04,18.26,pro,FRIEND20
O00162,C0036,2025-06-11,161.1,premium,
O00163,C0031,2025-10-08,72.85,premium,
O00164,C0040,2025-01-29,22.84,essentials,
O00165,C0054,2025-02-11,75.11,pro,NEWYEAR
O00166,C0030,2025-09-10,25.57,essentials,
O00167,C0088,2025-07-22,61.97,pro,
O00168,C0065,2025-02-04,63.56,premium,
O00169,C0105,2025-04-10,69.24,essentials,SPRING10
O00170,C0038,2025-02-25,229.33,essentials,
O00171,C0029,2025-09-06,110.58,pro,NEWYEAR
O00172,C0019,2025-07-21,30.07,essentials,
O00173,C0054,2025-01-27,175.59,essentials,
O00174,C0092,2025-06-10,180.66,premium,NEWYEAR
O00175,C0043,2025-04-08,59.18,premium,
O00176,C0005,2025-06-09,165.5,essentials,
O00177,C0043,2025-08-15,55.58,essentials,
O00178,C0045,2025-08-04,230.12,essentials,FRIEND20
O00179,C0027,2025-07-14,97.17,pro,SPRING10
O00180,C0056,2025-02-14,28.94,essentials,
O00181,C0118,2025-08-17,60.85,essentials,NEWYEAR
O00182,C0004,2025-11-20,109.2,pro,SPRING10
O00183,C0006,2025-07-12,25.74,essentials,NEWYEAR
O00184,C0033,2025-04-10,183.9,premium,
O00185,C0035,2025-06-21,230.61,pro,
O00186,C0092,2025-12-20,88.26,essentials,
O00187,C0097,2025-11-01,221.45,pro,NEWYEAR
O00188,C0004,2025-04-30,41.81,pro,
O00189,C0100,2025-07-17,193.34,premium,SPRING10
O00190,C0017,2025-09-12,58.61,pro,
O00191,C0106,2025-12-21,189.56,pro,
O00192,C0041,2025-08-24,98.33,pro,
O00193,C0026,2025-07-20,185.14,essentials,
O00194,C0005,2025-09-04,140.68,essentials,FRIEND20
O00195,C0114,2025-02-23,237.3,essentials,
O00196,C0013,2025-08-04,128.66,pro,
O00197,C0030,2025-03-10,110.54,pro,
O00198,C0096,2025-10-03,206.03,pro,
O00199,C0108,2025-05-31,83.22,pro,
O00200,C0095,2025-05-14,62.22,essentials,
O00201,C0020,2025-05-25,214.29,pro,
O00202,C0051,2025-05-09,238.32,pro,
O00203,C0104,2025-02-21,163.04,premium,
O00204,C0061,2025-04-29,204.6,premium,
O00205,C0038,2025-04-30,44.47,essentials,FRIEND20
O00206,C0075,2025-04-10,224.5,essentials,NEWYEAR
O00207,C0058,2025-11-05,75.71,pro,NEWYEAR
O00208,C0014,2025-11-23,150.34,pro,
O00209,C0048,2025-06-24,49.38,essentials,
O00210,C0077,2025-11-30,220.9,pro,SPRING10
O00211,C0053,2025-12-14,100.54,pro,
O00212,C0005,2025-09-11,139.67,essentials,
O00213,C0051,2025-12-06,140.13,pro,
O00214,C0021,2025-07-23,172.38,essentials,
O00215,C0040,2025-08-02,229.61,essentials,
O00216,C0046,2025-08-01,110.45,premium,FRIEND20
O00217,C0047,2025-11-26,61.78,pro,
O00218,C0001,2025-08-11,218.16,essentials,SPRING10
O00219,C0052,2025-10-23,213.99,essentials,
O00220,C0002,2025-01-27,140.44,pro,NEWYEAR
O00221,C0012,2025-10-21,156.13,essentials,
O00222,C0019,2025-06-28,80.89,pro,NEWYEAR
O00223,C0014,2025-07-16,126.89,pro,FRIEND20
O00224,C0026,2025-06-04,46.12,premium,FRIEND20
O00225,C0062,2025-06-11,29.85,premium,
O00226,C0116,2025-12-31,155.72,pro,
O00227,C0101,2025-04-24,155.87,pro,
O00228,C0061,2025-04-04,143.52,essentials,NEWYEAR
O00229,C0021,2025-07-16,97.74,essentials,FRIEND20
O00230,C0105,2025-04-09,27.12,pro,SPRING10
O00231,C0005,2025-12-08,204.08,essentials,
O00232,C0071,2025-11-18,190.74,pro,
O00233,C0032,2025-08-06,104.41,essentials,
O00234,C0023,2025-01-12,18.78,premium,
O00235,C0058,2025-11-13,191.15,essentials,
O00236,C0061,2025-07-24,41.77,essentials,
O00237,C0012,2025-08-15,129.96,pro,
O00238,C0017,2025-02-12,222.71,essentials,
O00239,C0011,2025-01-28,184.96,premium,
O00240,C0101,2025-03-11,23.74,essentials,
O00241,C0089,2025-02-26,61.0,premium,
O00242,C0104,2025-03-26,170.32,pro,
O00243,C0107,2025-06-29,153.52,essentials,
O00244,C0079,2025-05-21,218.92,essentials,
O00245,C0118,2025-09-03,64.25,essentials,
O00246,C0041,2025-07-10,26.18,essentials,
O00247,C0120,2025-05-23,168.89,premium,
O00248,C0101,2025-05-16,43.55,pro,
O00249,C0047,2025-08-20,141.25,pro,NEWYEAR
O00250,C0014,2025-05-10,238.44,pro,
O00251,C0103,2025-07-10,76.78,premium,
O00252,C0047,2025-06-19,187.75,essentials,
O00253,C0096,2025-01-25,83.8,pro,
O00254,C0112,2025-10-27,224.12,premium,
O00255,C0096,2025-01-18,67.2,essentials,
O00256,C0054,2025-09-20,98.83,essentials,
O00257,C0079,2025-12-01,28.12,essentials,
O00258,C0039,2025-02-24,134.13,pro,
O00259,C0039,2025-10-29,47.69,essentials,SPRING10
O00260,C0021,2025-03-10,21.13,pro,
O00261,C0058,2025-02-19,32.13,essentials,
O00262,C0035,2025-07-25,198.17,premium,
O00263,C0106,2025-10-15,216.17,pro,
O00264,C0078,2025-09-23,180.84,essentials,NEWYEAR
O00265,C0006,2025-02-01,136.0,essentials,
O00266,C0008,2025-02-23,20.74,pro,NEWYEAR
O00267,C0019,2025-07-31,62.29,pro,
O00268,C0083,2025-08-01,198.57,essentials,
O00269,C0039,2025-11-17,28.76,premium,SPRING10
O00270,C0092,2025-10-03,19.41,pro,
O00271,C0060,2025-02-11,182.67,essentials,
O00272,C0014,2025-05-14,69.57,essentials,
O00273,C0096,2025-12-22,227.31,essentials,
O00274,C0082,2025-10-11,168.79,pro,NEWYEAR
O00275,C0034,2025-06-01,160.52,premium,
O00276,C0113,2025-09-17,21.38,essentials,
O00277,C0096,2025-04-14,227.72,pro,
O00278,C0113,2025-07-19,90.94,essentials,NEWYEAR
O00279,C0081,2025-12-21,235.93,pro,
O00280,C0061,2025-09-29,172.87,premium,
O00281,C0093,2025-04-30,144.62,essentials,
O00282,C0080,2025-10-27,35.27,premium,
O00283,C0004,2025-02-27,41.68,premium,
O00284,C0019,2025-12-25,24.38,essentials,
O00285,C0082,2025-01-22,172.74,pro,
O00286,C0076,2025-07-06,62.25,premium,
O00287,C0086,2025-02-03,213.3,pro,
O00288,C0050,2025-02-24,72.74,essentials,
O00289,C0109,2025-11-21,37.42,pro,
O00290,C0062,2025-02-21,47.45,pro,
O00291,C0038,2025-06-13,92.71,essentials,
O00292,C0120,2025-05-25,28.75,pro,NEWYEAR
O00293,C0099,2025-11-05,129.83,premium,
O00294,C0004,2025-07-31,24.94,pro,
O00295,C0061,2025-12-27,28.68,pro,
O00296,C0106,2025-02-16,145.55,essentials,
O00297,C0068,2025-04-14,82.01,pro,
O00298,C0045,2025-09-09,39.24,pro,SPRING10
O00299,C0064,2025-10-31,95.08,pro,
O00300,C0021,2025-05-26,198.98,premium,
O00301,C0022,2025-02-26,226.39,pro,
O00302,C0090,2025-10-15,192.7,pro,
O00303,C0052,2025-07-22,215.99,pro,
O00304,C0083,2025-01-13,100.57,essentials,
O00305,C0070,2025-09-14,55.99,premium,
O00306,C0059,2025-03-06,136.0,pro,SPRING10
O00307,C0083,2025-01-18,95.36,essentials,
O00308,C0108,2025-08-19,164.99,pro,
O00309,C0057,2025-12-19,189.7,pro,
O00310,C0060,2025-11-26,214.5,essentials,
O00311,C0039,2025-12-27,201.49,pro,
O00312,C0032,2025-06-17,151.84,essentials,
O00313,C0025,2025-05-13,234.48,pro,
O00314,C0085,2025-02-22,61.39,essentials,
O00315,C0039,2025-06-02,114.55,essentials,
O00316,C0014,2025-05-24,63.83,essentials,
O00317,C0052,2025-08-12,171.94,pro,
O00318,C0060,2025-01-12,49.48,pro,
O00319,C0095,2025-05-05,219.58,essentials,
O00320,C0096,2025-11-28,111.5,essentials,
O00321,C0113,2025-11-25,173.42,premium,
O00322,C0083,2025-03-05,118.77,essentials,
O00323,C0013,2025-08-03,71.81,essentials,
O00324,C0021,2025-05-09,206.58,essentials,
O00325,C0110,2025-07-29,133.05,pro,NEWYEAR
O00326,C0115,2025-12-02,90.83,essentials,SPRING10
O00327,C0117,2025-02-24,26.47,pro,
O00328,C0101,2025-04-13,133.27,essentials,
O00329,C0070,2025-04-15,177.24,pro,
O00330,C0107,2025-07-09,133.81,essentials,NEWYEAR
O00331,C0027,2025-12-17,58.8,pro,NEWYEAR
O00332,C0094,2025-11-11,96.92,essentials,
O00333,C0052,2025-02-01,20.95,essentials,
O00334,C0090,2025-12-12,96.17,essentials,
O00335,C0095,2025-07-25,226.66,pro,
O00336,C0103,2025-07-20,120.59,essentials,NEWYEAR
O00337,C0009,2025-11-21,60.88,pro,
O00338,C0105,2025-03-16,96.4,pro,SPRING10
O00339,C0105,2025-07-31,121.92,essentials,
O00340,C0017,2025-08-29,96.75,premium,
O00341,C0049,2025-12-18,74.29,essentials,
O00342,C0001,2025-05-24,97.47,pro,
O00343,C0063,2025-08-08,156.39,essentials,NEWYEAR
O00344,C0020,2025-06-05,207.69,essentials,SPRING10
O00345,C0116,2025-06-16,192.06,essentials,SPRING10
O00346,C0082,2025-10-26,21.33,essentials,FRIEND20
O00347,C0084,2025-05-31,73.51,essentials,
O00348,C0030,2025-04-06,190.34,essentials,
O00349,C0116,2025-07-26,193.75,essentials,NEWYEAR
O00350,C0078,2025-02-16,166.4,premium,SPRING10
O00351,C0108,2025-06-02,61.82,pro,
O00352,C0095,2025-08-13,167.01,essentials,
O00353,C0054,2025-04-30,201.61,essentials,
O00354,C0062,2025-08-28,219.01,pro,
O00355,C0022,2025-10-04,151.11,pro,
O00356,C0042,2025-08-28,172.49,essentials,
O00357,C0060,2025-07-11,112.53,premium,
O00358,C0024,2025-11-23,98.0,pro,
O00359,C0006,2025-12-16,181.51,premium,SPRING10
O00360,C0013,2025-09-19,125.49,pro,
O00361,C0028,2025-08-01,156.81,essentials,NEWYEAR
O00362,C0047,2025-06-24,123.35,pro,SPRING10
O00363,C0027,2025-05-26,114.61,essentials,
O00364,C0106,2025-05-29,83.02,pro,
O00365,C0065,2025-05-20,211.8,essentials,
O00366,C0064,2025-03-02,91.46,essentials,
O00367,C0076,2025-11-22,37.44,premium,
O00368,C0071,2025-07-27,139.08,essentials,
O00369,C0001,2025-01-24,60.17,premium,
O00370,C0085,2025-01-31,193.16,premium,
O00371,C0079,2025-03-17,157.15,pro,
O00372,C0088,2025-02-12,65.18,pro,
O00373,C0098,2025-03-31,40.5,essentials,
O00374,C0100,2025-02-21,220.93,pro,
O00375,C0106,2025-03-13,192.61,pro,
O00376,C0039,2025-04-05,111.64,essentials,
O00377,C0083,2025-10-24,225.32,essentials,
O00378,C0006,2025-03-02,189.78,essentials,
O00379,C0052,2025-08-17,32.92,pro,
O00380,C0085,2025-03-21,123.55,essentials,
O00381,C0083,2025-08-30,65.13,essentials,
O00382,C0001,2025-01-05,169.79,essentials,FRIEND20
O00383,C0012,2025-04-22,211.04,essentials,
O00384,C0093,2025-10-19,71.78,pro,
O00385,C0007,2025-07-07,189.83,pro,NEWYEAR
O00386,C0094,2025-02-13,83.08,pro,
O00387,C0086,2025-05-11,220.8,essentials,
O00388,C0008,2025-01-08,214.1,pro,
O00389,C0050,2025-06-09,87.37,pro,FRIEND20
O00390,C0107,2025-09-07,153.19,essentials,NEWYEAR
O00391,C0094,2025-08-13,122.3,essentials,FRIEND20
O00392,C0015,2025-07-05,229.76,essentials,SPRING10
O00393,C0062,2025-07-17,190.74,essentials,
O00394,C0097,2025-10-18,92.12,essentials,
O00395,C0084,2025-12-27,196.03,pro,NEWYEAR
O00396,C0093,2025-01-08,202.55,pro,
O00397,C0055,2025-05-07,101.62,pro,
O00398,C0115,2025-04-30,197.26,essentials,
O00399,C0034,2025-05-18,111.8,pro,SPRING10
O00400,C0114,2025-01-22,82.05,essentials,NEWYEAR
